Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,Industry_type,SubVertical,CityLocation,Citycode,Investors Name,InvestmentnType,InvestmentID,Amount in USD,Remarks
1,9/1/2020,BYJU’S,E-Tech,1,E-learning,\\xc2\\xa0Bangalore,1,Tiger Global Management,Angel,1,200000000,
2,13/01/2020,Shuttl,Transportation,2,App based shuttle service,\\xc2\\xa0Gurgaon,2,Susquehanna Growth Equity,Angel / Seed Funding,2,8048394,
3,9/1/2020,Mamaearth,E-commerce,3,Retailer of baby and toddler products,\\xc2\\xa0Gurgaon,2,Sequoia Capital India,Angel / Seed Funding,2,18358860,
4,2/1/2020,https://www.wealthbucket.in/,FinTech,4,Online Investment,\\xc2\\xa0Gurgaon,2,Vinod Khatumal,Angel / Seed Funding,2,3000000,
5,2/1/2020,Fashor,Fashion and Apparel,5,Embroiled Clothes For Women,\\xc2\\xa0Gurgaon,2,Sprout Venture Partners,Angel / Seed Funding,2,1800000,
6,13/01/2020,Pando,Logistics,6,"Open-market, freight management platform",\\xc2\\xa0Mumbai,3,Chiratae Ventures,Angel / Seed Funding,2,9000000,
7,10/1/2020,Zomato,Hospitality,7,Online Food Delivery Platform,\\xc2\\xa0New Delhi,4,Ant Financial,Angel / Seed Funding,2,150000000,
8,12/12/2019,Ecozen,Technology,8,Agritech,\\xc2\\xa0New Delhi,4,Sathguru Catalyzer Advisors,Angel / Seed Funding,2,6000000,
9,6/12/2019,CarDekho,E-Commerce,9,Automobile,\\xc2\\xa0New Delhi,4,Ping An Global Voyager Fund,Angel / Seed Funding,2,70000000,
10,3/12/2019,Dhruva Space,Aerospace,10,Satellite Communication,\\xc2\\xa0Noida,5,"Mumbai Angels, Ravikanth Reddy",Angel Funding,3,50000000,
11,13/12/2019,Rivigo,Technology,11,Logistics Services and Solutions,Agra,6,"SAIF Partners, Spring Canter Investment Ltd.",Angel Round,4,20000000,
12,17/12/2019,Healthians,B2B-focused foodtech startup,12,Food Solutions For Corporate,Agra,6,"Paytm, NPTK, Sabre Partners and Neoplux",Bridge Round,5,12000000,
13,16/12/2019,Licious,E-Commerce,13,Online Meat And Seafood Ordering Startup,Ahemadabad,7,Vertex Growth Fund,Corporate Round,6,30000000,
14,16/12/2019,InCred,Finance,14,Non-Banking Financial Company,Ahemadabad,7,,Corporate Round,6,5900000,
15,14/12/2019,Trell,Video,15,Experience Discovery Platform,Ahemdabad,8,Ruizheng Investment,Crowd funding,7,2000000,
16,11/12/2019,Rein Games,Gaming,16,Real money based gaming startup,Ahmedabad,9,Manipal Education and Medical Group (MEMG),Crowd Funding,7,50000000,
17,20/12/2019,Lenskart.com,E-Commerce,17,Online Eyewear Shopping Portal,Ahmedabad,9,SoftBank Vision Fund,Debt,8,231000000,
18,13/11/2019,Freshworks,Software,18,Business and customer engagement tools,Ahmedabad,9,"Sequoia, CapitalG, Accel",Debt and Preference capital,9,150000000,
19,14/11/2019,Misters,Health and wellness,19,Men's Health and Wellness brand,Ahmedabad,9,"Sauce.vc, Rainforest Ventures",Debt Funding,10,486000,
20,13/11/2019,Sunstone Eduversity Pvt. Ltd,Education,20,Elearning,Ahmedabad,9,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Debt Funding,10,1500000,
21,17/11/2019,Burger Singh,Food and Beverage,21,Indian Burger Brand,Ahmedabad,9,RB Investments,Debt Funding,10,Undisclosed,
22,18/11/2019,Healthians,Health and Wellness,22,Healthcare services,Ahmedabad,9,"DG Daiwa Ventures, DG Incubation",Debt Funding,10,12000000,
